"AccountId","AccountName","Region","InstanceId","InstanceType","State","Platform","PrivateIP","Name","Lifecycle"
"729265419250","SRSAWS","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"729265419250","SRSAWS","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"729265419250","SRSAWS","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"729265419250","SRSAWS","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"729265419250","SRSAWS","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"729265419250","SRSAWS","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"015815251546","Production Account","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"015815251546","Production Account","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"015815251546","Production Account","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"015815251546","Production Account","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"015815251546","Production Account","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"015815251546","Production Account","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"163799539090","Stage Account","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"163799539090","Stage Account","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"163799539090","Stage Account","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"163799539090","Stage Account","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"163799539090","Stage Account","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"163799539090","Stage Account","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"508093650048","QA Account","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"508093650048","QA Account","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"508093650048","QA Account","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"508093650048","QA Account","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"508093650048","QA Account","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"508093650048","QA Account","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"013612877090","AWS Development","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"013612877090","AWS Development","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"013612877090","AWS Development","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"013612877090","AWS Development","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"013612877090","AWS Development","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"013612877090","AWS Development","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"193650285903","Backup Account","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"193650285903","Backup Account","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"193650285903","Backup Account","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"193650285903","Backup Account","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"193650285903","Backup Account","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"193650285903","Backup Account","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"010928212058","Log Archive","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"010928212058","Log Archive","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"010928212058","Log Archive","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"010928212058","Log Archive","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"010928212058","Log Archive","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"010928212058","Log Archive","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"010928211854","Audit","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"010928211854","Audit","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"010928211854","Audit","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"010928211854","Audit","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"010928211854","Audit","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"010928211854","Audit","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"010928226815","AFT-Management","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"010928226815","AFT-Management","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"010928226815","AFT-Management","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"010928226815","AFT-Management","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"010928226815","AFT-Management","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"010928226815","AFT-Management","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"450320546527","IT Solutions","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"450320546527","IT Solutions","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"450320546527","IT Solutions","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"450320546527","IT Solutions","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"450320546527","IT Solutions","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"450320546527","IT Solutions","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"946447852237","Cortado Production","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"946447852237","Cortado Production","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"946447852237","Cortado Production","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"946447852237","Cortado Production","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"946447852237","Cortado Production","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"946447852237","Cortado Production","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"145462881720","cortado-staging","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"145462881720","cortado-staging","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"145462881720","cortado-staging","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"145462881720","cortado-staging","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"145462881720","cortado-staging","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"145462881720","cortado-staging","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"317609321563","doppio-production","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"317609321563","doppio-production","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"317609321563","doppio-production","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"317609321563","doppio-production","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"317609321563","doppio-production","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"317609321563","doppio-production","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"582520650702","formkiq_dev","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"582520650702","formkiq_dev","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"582520650702","formkiq_dev","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"582520650702","formkiq_dev","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"582520650702","formkiq_dev","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"582520650702","formkiq_dev","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"223347559318","Development","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"223347559318","Development","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"223347559318","Development","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"223347559318","Development","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"223347559318","Development","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"223347559318","Development","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"145260055644","Onehub Development","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"145260055644","Onehub Development","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"145260055644","Onehub Development","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"145260055644","Onehub Development","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"145260055644","Onehub Development","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"145260055644","Onehub Development","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"198161015548","Charles Mount","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"198161015548","Charles Mount","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"198161015548","Charles Mount","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"198161015548","Charles Mount","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"198161015548","Charles Mount","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"198161015548","Charles Mount","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
"872864771989","Brian Moran","us-west-1","i-089786e12ea93e550","t2.medium","stopped","Linux","172.31.23.72","Kali Linux","on-demand"
"872864771989","Brian Moran","us-west-1","i-0912f0b6e70aebaa5","t2.micro","stopped","windows","172.31.15.85","N/A","on-demand"
"872864771989","Brian Moran","us-west-1","i-0709bdc24a9518c58","t2.micro","stopped","Linux","172.31.13.14","Ansible","on-demand"
"872864771989","Brian Moran","us-west-1","i-01234a878f4ed2e71","t2.micro","stopped","Linux","172.31.14.132","Uptime Robot","on-demand"
"872864771989","Brian Moran","us-west-1","i-0ab19da1e308e97c4","t2.micro","stopped","Linux","172.31.10.223","KSE-SecOps","on-demand"
"872864771989","Brian Moran","us-west-1","i-08d2420ed6f263faf","t2.micro","stopped","Linux","172.31.2.140","N/A","on-demand"
