AccountName,AccountId,Environment,Region,ResourceType,AllVolumeIds,AllocatedStorageGiB,CPUUtilizationPercent,DBInstanceArn,DBInstanceClass,DBInstanceIdentifier,DBInstanceStatus,Engine,EngineVersion,FreeStorageSpaceGiB,InstanceArn,InstanceId,InstanceType,LaunchTime,LaunchYear,MultiAZ,RDSCPUUtilizationPercent,RecommendedPurchaseOption,RecommendedRightSizeClass,RecommendedRightSizeType,RootVolumeId,StorageType,UptimeDays
Cortado Production,946447852237,production,us-east-1,EC2,vol-0161bb9fa054c40be,,0.89,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-072cfc3d826e32b41,i-072cfc3d826e32b41,c3.xlarge,2023-07-27T18:59:56+00:00,2023,,,SavingsPlan,,,vol-0161bb9fa054c40be,,860
Cortado Production,946447852237,production,us-east-1,EC2,vol-09c6fc9d39e7c6266,,0.0,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-003db9cf5ac1ca620,i-003db9cf5ac1ca620,c3.xlarge,2023-07-27T19:02:49+00:00,2023,,,OnDemand,,,vol-09c6fc9d39e7c6266,,860
Cortado Production,946447852237,staging,us-east-1,EC2,vol-0ee00a9bf6e02ac5a,,1.41,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-085667f918d2952d6,i-085667f918d2952d6,t2.small,2022-10-21T16:52:50+00:00,2022,,,SavingsPlan,,t2.micro,vol-0ee00a9bf6e02ac5a,,1139
Cortado Production,946447852237,prod,us-east-1,EC2,vol-07928f6090bed462e,,1.12,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-0f6c6c758cd7100f4,i-0f6c6c758cd7100f4,m5.4xlarge,2023-10-16T17:25:24+00:00,2023,,,SavingsPlan,,m5.2xlarge,vol-07928f6090bed462e,,779
Cortado Production,946447852237,prod,us-east-1,EC2,"vol-03a435ad73f2de995,vol-08893e9975667f32a,vol-0e41176c6bfebde45",,1.11,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-02cd0f7feea1dffcf,i-02cd0f7feea1dffcf,m5.4xlarge,2023-10-16T17:25:21+00:00,2023,,,SavingsPlan,,m5.2xlarge,vol-03a435ad73f2de995,,779
Cortado Production,946447852237,prod,us-east-1,EC2,vol-00d7bbe6652ca9833,,0.86,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-00a6e2a15b3fb1904,i-00a6e2a15b3fb1904,m5.4xlarge,2023-10-16T17:25:24+00:00,2023,,,SavingsPlan,,m5.2xlarge,vol-00d7bbe6652ca9833,,779
Cortado Production,946447852237,prod,us-east-1,EC2,"vol-04d27778a305a9761,vol-03c3053c557dafb5b",,2.46,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-0ecf15b423fe7f783,i-0ecf15b423fe7f783,m5.4xlarge,2023-10-16T17:25:21+00:00,2023,,,SavingsPlan,,m5.2xlarge,vol-04d27778a305a9761,,779
Cortado Production,946447852237,prod,us-east-1,EC2,vol-0ce2177af1f745e17,,1.4,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-06850070c870bd0bf,i-06850070c870bd0bf,m5.4xlarge,2023-10-16T17:25:24+00:00,2023,,,SavingsPlan,,m5.2xlarge,vol-0ce2177af1f745e17,,779
Cortado Production,946447852237,prod,us-east-1,EC2,vol-0b4c99fbbfcf153b1,,1.05,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-019f15d6c23b88bd6,i-019f15d6c23b88bd6,m5.4xlarge,2023-10-16T17:25:21+00:00,2023,,,SavingsPlan,,m5.2xlarge,vol-0b4c99fbbfcf153b1,,779
Cortado Production,946447852237,prod,us-east-1,EC2,"vol-0e2836bfd676eb0a2,vol-02ef5c7907aadf58b",,1.19,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-0d28bbc2445048f7e,i-0d28bbc2445048f7e,m5.4xlarge,2025-11-18T02:11:47+00:00,2025,,,OnDemand,,m5.2xlarge,vol-0e2836bfd676eb0a2,,16
Cortado Production,946447852237,prod,us-east-1,EC2,"vol-0642d11eb7c3f64ad,vol-02049566d407c5023",,1.48,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-087f0e905c86d26ac,i-087f0e905c86d26ac,m5.4xlarge,2025-11-18T02:11:47+00:00,2025,,,OnDemand,,m5.2xlarge,vol-0642d11eb7c3f64ad,,16
Cortado Production,946447852237,prod,us-east-1,EC2,vol-028610c33781500bc,,1.19,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-09dfab155924baeea,i-09dfab155924baeea,m5.4xlarge,2025-11-18T02:11:48+00:00,2025,,,OnDemand,,m5.2xlarge,vol-028610c33781500bc,,16
Cortado Production,946447852237,prod,us-east-1,EC2,"vol-0b1c3d2b4984dda80,vol-082f718c00ba1c8e7",,1.08,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-0f34341e154ccd087,i-0f34341e154ccd087,m5.4xlarge,2025-11-18T02:11:47+00:00,2025,,,OnDemand,,m5.2xlarge,vol-0b1c3d2b4984dda80,,16
Cortado Production,946447852237,prod,us-east-1,EC2,vol-0a3e14c719dd2139a,,1.25,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-017f0adf5429a8e10,i-017f0adf5429a8e10,m5.4xlarge,2025-11-18T02:11:48+00:00,2025,,,OnDemand,,m5.2xlarge,vol-0a3e14c719dd2139a,,16
Cortado Production,946447852237,prod,us-east-1,EC2,vol-00e05627b9a74e24d,,0.89,,,,,,,,arn:aws:ec2:us-east-1:946447852237:instance/i-05a3f0060c2cce9c1,i-05a3f0060c2cce9c1,m5.4xlarge,2025-11-18T02:11:47+00:00,2025,,,OnDemand,,m5.2xlarge,vol-00e05627b9a74e24d,,16
Cortado Production,946447852237,prod,us-east-1,RDS,,500,,arn:aws:rds:us-east-1:946447852237:db:cortado-production,db.m5.4xlarge,cortado-production,available,mysql,8.0.42,476.82,,,,,,True,0.5,,db.m5.2xlarge,,,gp2,
Cortado Production,946447852237,prod,us-east-1,RDS,,500,,arn:aws:rds:us-east-1:946447852237:db:cortado-production-restore,db.m5.4xlarge,cortado-production-restore,available,mysql,8.0.42,477.86,,,,,,True,0.37,,db.m5.2xlarge,,,gp2,
