account_id,region,volume_id,volume_name,environment,volume_type,size_gb,iops_provisioned,throughput_mbps,state,is_attached,attached_instance_id,attached_instance_name,attachment_device,volume_classification,latest_snapshot_id,latest_snapshot_time,days_since_last_snapshot,encrypted,kms_key_id,multi_attach_enabled,rightsizing_recommendation
015815251546,us-west-2,vol-0d82eb69a698fbe10,,Prod,gp2,20,100,0,in-use,Yes,i-067eb2e1210af5ad5,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-013a7421ff3b838ff,,Prod,gp2,20,100,0,in-use,Yes,i-0a38d8401e2345fde,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0b698ca509182417e,,Prod,gp2,20,100,0,in-use,Yes,i-0ca40a35dca2fc0fe,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0daf9bed313de485b,,Prod,gp2,20,100,0,in-use,Yes,i-063df98b6c1d9623d,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0c185cf947b8ad2c1,,Prod,gp2,75,225,0,in-use,Yes,i-0c311c03040874b2a,prod-muhimbi-node-1,/dev/sda1,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0beb2633eb35f6b4f,kubernetes-dynamic-pvc-5ad50807-25aa-4661-946f-3dc65a48d8da,Prod,gp2,2,100,0,available,No,,,,Unattached,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-00236be1346244cd8,,Prod,gp2,20,100,0,in-use,Yes,i-0eda689e57b82505a,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0ff88e47ed054cf38,,Prod,gp3,8,3000,125,in-use,Yes,i-0efe0d80326bc975a,prod-ods-250612,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Keep as is
015815251546,us-west-2,vol-06803d650b5ebe130,,Prod,gp3,100,3000,125,in-use,Yes,i-012fb33e9e562c720,prod-dealdashboard-250612,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Keep as is
015815251546,us-west-2,vol-0618275f5e49ead0a,,Prod,gp3,100,3000,125,in-use,Yes,i-0cd81e287b076d11f,prod-pup-250929,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Keep as is
015815251546,us-west-2,vol-04763dbe6ba0faec4,,Prod,gp2,8,100,0,in-use,Yes,i-07634416c1173ecc3,,/dev/xvdbb,Data/External,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0ad677aeb3cfea90d,,Prod,gp2,20,100,0,in-use,Yes,i-0de20046e4bd1947f,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-04aa05a5ef5f61584,,Prod,gp3,25,3000,125,in-use,Yes,i-0b247eb5fc04944e3,chmigration,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Keep as is
015815251546,us-west-2,vol-0c85324138a3d416d,,Prod,gp2,1,100,0,in-use,Yes,i-016cb37dcc444d6c8,,/dev/xvdba,Data/External,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-074778434253810ff,,Prod,gp2,75,225,0,in-use,Yes,i-09e771a492ee7b083,prod-muhimbi-node-0,/dev/sda1,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0b93d31a3329c7b16,,Prod,gp2,20,100,0,in-use,Yes,i-016d1985a8c9fd309,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0fb0147a05fe4851e,,Prod,gp2,20,100,0,in-use,Yes,i-0541059c73a9a2a7c,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0273969e8e6499fb2,,Prod,gp2,30,100,0,in-use,Yes,i-063df98b6c1d9623d,,/dev/xvdba,Data/External,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-09cc1542a5cb39cbc,,Prod,gp2,20,100,0,in-use,Yes,i-08ff157ab5c8a81ea,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-01f8713c4bdc600d2,,Prod,gp2,20,100,0,in-use,Yes,i-07634416c1173ecc3,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0ed4ac7383a8fd24a,,Prod,gp2,20,100,0,in-use,Yes,i-016cb37dcc444d6c8,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-084cd0072e95e0285,,Prod,gp2,20,100,0,in-use,Yes,i-089780871eec0062f,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0662dc6bf833ac29f,,Prod,gp2,20,100,0,in-use,Yes,i-0334302cd7bc6d029,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0fbe74f564f7a228d,,Prod,gp2,20,100,0,in-use,Yes,i-090a0e09659cc9c8e,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0089f8c349cc8b0a7,,Prod,gp2,20,100,0,in-use,Yes,i-03addc36fd668bc75,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0d9f2c4c7c04468b4,,Prod,gp2,20,100,0,in-use,Yes,i-01f969271b616f6fc,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0d446b1c469e92e50,,Prod,gp2,8,100,0,in-use,Yes,i-07634416c1173ecc3,,/dev/xvdba,Data/External,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0a720025b6f3b823d,,Prod,gp2,20,100,0,in-use,Yes,i-08eed67de7c5ac878,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-09d84e9b1169a2576,,Prod,gp2,20,100,0,in-use,Yes,i-00f57f90a67b140ff,,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-0dc22499c78870a15,,Prod,gp2,8,100,0,in-use,Yes,i-01f969271b616f6fc,,/dev/xvdba,Data/External,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
015815251546,us-west-2,vol-04ef593adeb9f18cb,,Prod,gp2,8,100,0,in-use,Yes,i-04d511a0c8d01d5cd,bgreen-dev,/dev/xvda,Root/Internal,,,,Yes,arn:aws:kms:us-west-2:015815251546:key/168fbe0d-2333-430a-805e-a4c00ed7defd,No,Convert gp2→gp3
